[Info][OPS.OBF][Setup] Active Editor Platform: WindowsEditorPlatform
[Info][OPS.OBF][Setup] Active Build Platform: DefaultBuildPlatform
[Info][OPS.OBF][Setup] Load Project
[Debug][OPS.OBF][Setup] Load DataContainer
[Debug][OPS.OBF][Setup] Load Obfuscator Settings
[Debug][OPS.OBF][Setup] Load Pipeline Components
[Debug][OPS.OBF][Setup] Found Components (3):
  - Analyse Unity Animation Methods ()
  - Analyse Unity Event Component (Analyse Unity Components for UnityEvents. Skip the attached method names.)
  - Analyse MonoScript ()

[Debug][OPS.OBF][Setup] Load Pipeline
[Debug][OPS.OBF][Setup] Load Asset Cache
[Debug][OPS.OBF][Setup] Found Extensions (8):
  - .fbx
  - .dae
  - .3ds
  - .dxf
  - .obj
  - .skp
  - .anim
  - .prefab

[Info][OPS.OBF][OnPreBuild] Process component Analyse Unity Animation Methods
[Info][OPS.OBF][OnPreBuild] Process component Analyse Unity Event Component
[Info][OPS.OBF][OnPreBuild] Process component Analyse MonoScript
[Info][OPS.OBF][OnAnalyse_Assets] Process component Analyse Unity Animation Methods
[Debug][OPS.OBF][OnAnalyse_Assets] Found methods in AnimationClip Assets/02.Animations/PopAnimanim.anim (1):
  - AfterPop

[Debug][OPS.OBF][OnAnalyse_Assets] Found methods in AnimationClip Packages/com.unity.timeline/Editor/StyleSheets/res/HumanoidDefault.anim (0):

[Debug][OPS.OBF][OnAnalyse_Assets] Found methods in AnimationClip Assets/02.Animations/DevilAnim.anim (1):
  - WingSound

[Debug][OPS.OBF][OnAnalyse_Assets] Found methods in AnimationClip Assets/02.Animations/PetAnim.anim (0):

[Debug][OPS.OBF][OnAnalyse_Assets] Found methods in AnimationClip Assets/02.Animations/PlayerAnim.anim (0):

[Info][OPS.OBF][OnProcess_Assets] Process component Analyse Unity Animation Methods
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Iterate components in loaded build scene Assets/04.Scenes/MainScene.unity.
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Found 6 Root GameObjects in Scene Assets/04.Scenes/MainScene.unity
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Found 1523 Components in Scene Assets/04.Scenes/MainScene.unity
[Info][OPS.OBF][OnAnalyse_Component_Scenes] Process component Analyse Unity Event Component
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Map of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Map of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Walls of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (1) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (1) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (1) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (2) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (2) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (2) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (3) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (3) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (3) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (4) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (4) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (4) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (5) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (5) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (5) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (6) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (6) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (6) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (7) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (7) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (7) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (8) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (8) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (8) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (9) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (9) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (9) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (10) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (10) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (10) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (11) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (11) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (11) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (12) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (12) of type UnityEngine.SpriteRenderer
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (12) of type UnityEngine.BoxCollider2D
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (13) of type UnityEngine.Transform
[Debug][OPS.OBF][OnAnalyse_Component_Scenes] Find unity event methods in Wall (13) of type UnityEngine.SpriteRenderer
